# x	y	u	v	flags	mask
2.5901e-01	2.2586e+00	3.4593e+00	4.2620e-01	0.0000e+00	0.0000e+00
5.4911e-01	2.2586e+00	3.3381e+00	1.8435e-01	0.0000e+00	0.0000e+00
8.3920e-01	2.2586e+00	3.5362e+00	1.0590e-01	0.0000e+00	0.0000e+00
1.1293e+00	2.2586e+00	3.5792e+00	1.9039e-02	0.0000e+00	0.0000e+00
1.4194e+00	2.2586e+00	3.5827e+00	-9.2534e-02	0.0000e+00	0.0000e+00
1.7095e+00	2.2586e+00	3.6463e+00	-5.0626e-01	0.0000e+00	0.0000e+00
1.9996e+00	2.2586e+00	3.4097e+00	-5.1451e-01	0.0000e+00	0.0000e+00
2.2897e+00	2.2586e+00	3.1926e+00	-5.1387e-01	0.0000e+00	0.0000e+00
2.5798e+00	2.2586e+00	3.0393e+00	-5.4671e-01	0.0000e+00	0.0000e+00
2.8699e+00	2.2586e+00	2.9006e+00	-3.8954e-01	0.0000e+00	0.0000e+00
3.1600e+00	2.2586e+00	2.7004e+00	-3.3821e-01	0.0000e+00	0.0000e+00
3.4501e+00	2.2586e+00	2.5845e+00	-7.6678e-02	0.0000e+00	0.0000e+00
3.7402e+00	2.2586e+00	2.4363e+00	7.9090e-02	0.0000e+00	0.0000e+00
4.0303e+00	2.2586e+00	2.5187e+00	3.7251e-01	0.0000e+00	0.0000e+00
4.3203e+00	2.2586e+00	2.6228e+00	6.2642e-01	0.0000e+00	0.0000e+00
4.6104e+00	2.2586e+00	2.8868e+00	7.3893e-01	0.0000e+00	0.0000e+00
4.9005e+00	2.2586e+00	3.2509e+00	5.8175e-01	0.0000e+00	0.0000e+00
5.1906e+00	2.2586e+00	3.3083e+00	1.3705e-01	0.0000e+00	0.0000e+00
5.4807e+00	2.2586e+00	3.4552e+00	-1.0939e-01	0.0000e+00	0.0000e+00
5.7708e+00	2.2586e+00	3.4623e+00	-5.0788e-01	0.0000e+00	0.0000e+00
6.0609e+00	2.2586e+00	3.1513e+00	-5.2894e-01	0.0000e+00	0.0000e+00
6.3510e+00	2.2586e+00	3.0087e+00	-5.4741e-01	0.0000e+00	0.0000e+00
6.6411e+00	2.2586e+00	2.9775e+00	-2.5337e-01	0.0000e+00	0.0000e+00
6.9312e+00	2.2586e+00	2.6774e+00	-2.8013e-01	0.0000e+00	0.0000e+00
7.2213e+00	2.2586e+00	2.6857e+00	-3.7848e-02	0.0000e+00	0.0000e+00
7.5114e+00	2.2586e+00	2.6273e+00	6.2182e-02	0.0000e+00	0.0000e+00
7.8015e+00	2.2586e+00	2.4640e+00	2.3002e-01	0.0000e+00	0.0000e+00
8.0916e+00	2.2586e+00	2.5965e+00	3.1762e-01	0.0000e+00	0.0000e+00
8.3817e+00	2.2586e+00	2.5615e+00	2.1813e-01	0.0000e+00	0.0000e+00
8.6718e+00	2.2586e+00	2.6726e+00	3.5506e-01	0.0000e+00	0.0000e+00
8.9619e+00	2.2586e+00	2.8233e+00	9.8044e-02	0.0000e+00	0.0000e+00
9.2520e+00	2.2586e+00	2.9383e+00	1.0318e-01	0.0000e+00	0.0000e+00
9.5421e+00	2.2586e+00	3.0073e+00	-1.8252e-01	0.0000e+00	0.0000e+00
9.8322e+00	2.2586e+00	2.9185e+00	-3.9349e-01	0.0000e+00	0.0000e+00
1.0122e+01	2.2586e+00	2.8071e+00	-3.0441e-01	0.0000e+00	0.0000e+00
1.0412e+01	2.2586e+00	2.8948e+00	-2.4192e-01	0.0000e+00	0.0000e+00
1.0702e+01	2.2586e+00	3.0239e+00	-1.9473e-01	0.0000e+00	0.0000e+00
1.0993e+01	2.2586e+00	2.9421e+00	-7.0089e-02	0.0000e+00	0.0000e+00
1.1283e+01	2.2586e+00	2.8060e+00	-5.2116e-02	0.0000e+00	0.0000e+00
1.1573e+01	2.2586e+00	2.9557e+00	-8.1533e-02	0.0000e+00	0.0000e+00
1.1863e+01	2.2586e+00	2.8774e+00	1.0240e-01	0.0000e+00	0.0000e+00
1.2153e+01	2.2586e+00	2.7702e+00	1.5023e-01	0.0000e+00	0.0000e+00
2.5901e-01	1.9685e+00	3.6144e+00	5.9663e-01	0.0000e+00	0.0000e+00
5.4911e-01	1.9685e+00	3.5396e+00	3.0235e-01	0.0000e+00	0.0000e+00
8.3920e-01	1.9685e+00	3.5683e+00	1.8359e-01	0.0000e+00	0.0000e+00
1.1293e+00	1.9685e+00	3.7501e+00	9.4361e-02	0.0000e+00	0.0000e+00
