# x	y	u	v	flags	mask
1.2500e-01	1.2500e-01	1.0577e+00	-1.0463e-01	1.0000e+00	0.0000e+00
2.5000e-01	1.2500e-01	1.0473e+00	-8.8505e-02	0.0000e+00	0.0000e+00
3.7500e-01	1.2500e-01	1.0580e+00	-9.7742e-02	1.0000e+00	0.0000e+00
5.0000e-01	1.2500e-01	1.0514e+00	-9.5271e-02	0.0000e+00	0.0000e+00
6.2500e-01	1.2500e-01	1.0602e+00	-8.5110e-02	0.0000e+00	0.0000e+00
7.5000e-01	1.2500e-01	1.0657e+00	-7.2689e-02	0.0000e+00	0.0000e+00
8.7500e-01	1.2500e-01	1.0796e+00	-7.0058e-02	0.0000e+00	0.0000e+00
1.0000e+00	1.2500e-01	1.0881e+00	-5.7322e-02	0.0000e+00	0.0000e+00
1.1250e+00	1.2500e-01	1.0938e+00	-5.7537e-02	0.0000e+00	0.0000e+00
1.2500e+00	1.2500e-01	1.0946e+00	-5.1322e-02	0.0000e+00	0.0000e+00
1.3750e+00	1.2500e-01	1.0804e+00	-2.5454e-02	0.0000e+00	0.0000e+00
1.5000e+00	1.2500e-01	1.0732e+00	-1.7079e-01	0.0000e+00	0.0000e+00
1.6250e+00	1.2500e-01	1.0916e+00	-1.8307e-02	0.0000e+00	0.0000e+00
1.7500e+00	1.2500e-01	1.0991e+00	-4.9022e-03	0.0000e+00	0.0000e+00
1.8750e+00	1.2500e-01	1.0934e+00	5.0853e-03	0.0000e+00	0.0000e+00
2.0000e+00	1.2500e-01	1.0980e+00	8.7305e-03	0.0000e+00	0.0000e+00
2.1250e+00	1.2500e-01	1.1128e+00	2.6528e-02	1.0000e+00	0.0000e+00
2.2500e+00	1.2500e-01	1.1159e+00	3.5548e-02	0.0000e+00	0.0000e+00
2.3750e+00	1.2500e-01	1.1067e+00	5.8728e-02	0.0000e+00	0.0000e+00
2.5000e+00	1.2500e-01	1.0967e+00	7.3574e-02	0.0000e+00	0.0000e+00
2.6250e+00	1.2500e-01	1.0822e+00	8.3805e-02	0.0000e+00	0.0000e+00
2.7500e+00	1.2500e-01	1.0773e+00	1.1025e-01	1.0000e+00	0.0000e+00
2.8750e+00	1.2500e-01	1.0512e+00	1.1863e-01	0.0000e+00	0.0000e+00
3.0000e+00	1.2500e-01	1.0381e+00	1.3257e-01	0.0000e+00	0.0000e+00
3.1250e+00	1.2500e-01	1.0294e+00	1.4203e-01	1.0000e+00	0.0000e+00
3.2500e+00	1.2500e-01	9.9971e-01	1.2783e-01	0.0000e+00	0.0000e+00
3.3750e+00	1.2500e-01	9.9277e-01	1.3544e-01	0.0000e+00	0.0000e+00
3.5000e+00	1.2500e-01	9.6832e-01	1.4011e-01	0.0000e+00	0.0000e+00
3.6250e+00	1.2500e-01	9.4996e-01	1.4976e-01	1.0000e+00	0.0000e+00
3.7500e+00	1.2500e-01	9.2919e-01	1.4888e-01	1.0000e+00	0.0000e+00
3.8750e+00	1.2500e-01	9.1066e-01	1.3608e-01	0.0000e+00	0.0000e+00
4.0000e+00	1.2500e-01	9.0361e-01	1.2995e-01	0.0000e+00	0.0000e+00
4.1250e+00	1.2500e-01	8.7055e-01	1.3958e-01	0.0000e+00	0.0000e+00
4.2500e+00	1.2500e-01	9.0322e-01	1.2765e-01	0.0000e+00	0.0000e+00
4.3750e+00	1.2500e-01	8.7660e-01	1.1699e-01	0.0000e+00	0.0000e+00
4.5000e+00	1.2500e-01	8.6826e-01	1.0400e-01	0.0000e+00	0.0000e+00
4.6250e+00	1.2500e-01	8.6772e-01	1.0211e-01	0.0000e+00	0.0000e+00
4.7500e+00	1.2500e-01	8.1829e-01	7.3292e-02	0.0000e+00	0.0000e+00
4.8750e+00	1.2500e-01	8.3202e-01	3.8518e-02	0.0000e+00	0.0000e+00
5.0000e+00	1.2500e-01	8.2003e-01	3.3110e-02	0.0000e+00	0.0000e+00
5.1250e+00	1.2500e-01	8.1340e-01	3.4390e-02	0.0000e+00	0.0000e+00
5.2500e+00	1.2500e-01	8.1306e-01	2.1782e-02	0.0000e+00	0.0000e+00
5.3750e+00	1.2500e-01	7.5612e-01	1.4619e-03	0.0000e+00	0.0000e+00
5.5000e+00	1.2500e-01	7.9661e-01	-1.3984e-02	0.0000e+00	0.0000e+00
5.6250e+00	1.2500e-01	7.8347e-01	-3.5199e-02	0.0000e+00	0.0000e+00
5.7500e+00	1.2500e-01	7.3861e-01	-7.5926e-02	0.0000e+00	0.0000e+00
5.8750e+00	1.2500e-01	8.0019e-01	-9.3967e-02	0.0000e+00	0.0000e+00
6.0000e+00	1.2500e-01	7.4734e-01	-9.3795e-02	0.0000e+00	0.0000e+00
6.1250e+00	1.2500e-01	7.6813e-01	-1.3522e-01	1.0000e+00	0.0000e+00
6.2500e+00	1.2500e-01	7.7733e-01	-1.5584e-01	1.0000e+00	0.0000e+00
6.3750e+00	1.2500e-01	8.1161e-01	-1.6928e-01	0.0000e+00	0.0000e+00
6.5000e+00	1.2500e-01	8.2969e-01	-1.8812e-01	0.0000e+00	0.0000e+00
6.6250e+00	1.2500e-01	8.3181e-01	-2.0103e-01	0.0000e+00	0.0000e+00
6.7500e+00	1.2500e-01	8.6169e-01	-2.1345e-01	0.0000e+00	0.0000e+00
6.8750e+00	1.2500e-01	9.1506e-01	-2.1401e-01	0.0000e+00	0.0000e+00
7.0000e+00	1.2500e-01	9.4485e-01	-1.6254e-01	0.0000e+00	0.0000e+00
7.1250e+00	1.2500e-01	9.8345e-01	-1.6738e-01	0.0000e+00	0.0000e+00
7.2500e+00	1.2500e-01	9.9519e-01	-1.7321e-01	0.0000e+00	0.0000e+00
7.3750e+00	1.2500e-01	9.8928e-01	-1.3709e-01	0.0000e+00	0.0000e+00
7.5000e+00	1.2500e-01	1.0316e+00	-1.0851e-01	0.0000e+00	0.0000e+00
7.6250e+00	1.2500e-01	1.0407e+00	-8.6298e-02	0.0000e+00	0.0000e+00
7.7500e+00	1.2500e-01	1.0650e+00	-6.1595e-02	0.0000e+00	0.0000e+00
7.8750e+00	1.2500e-01	1.0743e+00	-2.7536e-02	0.0000e+00	0.0000e+00
8.0000e+00	1.2500e-01	1.0580e+00	-2.2690e-02	1.0000e+00	0.0000e+00
8.1250e+00	1.2500e-01	1.0813e+00	-2.1786e-04	0.0000e+00	0.0000e+00
8.2500e+00	1.2500e-01	1.0655e+00	-2.5187e-02	0.0000e+00	0.0000e+00
8.3750e+00	1.2500e-01	1.0349e+00	4.7818e-02	1.0000e+00	0.0000e+00
8.5000e+00	1.2500e-01	1.0149e+00	6.8266e-02	0.0000e+00	0.0000e+00
8.6250e+00	1.2500e-01	9.9298e-01	4.2309e-02	0.0000e+00	0.0000e+00
8.7500e+00	1.2500e-01	1.0085e+00	1.2412e-01	1.0000e+00	0.0000e+00
8.8750e+00	1.2500e-01	9.9969e-01	1.3770e-01	1.0000e+00	0.0000e+00
9.0000e+00	1.2500e-01	9.9066e-01	1.4820e-01	1.0000e+00	0.0000e+00
9.1250e+00	1.2500e-01	9.7741e-01	1.4828e-01	1.0000e+00	0.0000e+00
9.2500e+00	1.2500e-01	9.5992e-01	1.4665e-01	1.0000e+00	0.0000e+00
9.3750e+00	1.2500e-01	9.4849e-01	1.3717e-01	0.0000e+00	0.0000e+00
9.5000e+00	1.2500e-01	9.1862e-01	1.3706e-01	1.0000e+00	0.0000e+00
9.6250e+00	1.2500e-01	8.9849e-01	1.3089e-01	1.0000e+00	0.0000e+00
9.7500e+00	1.2500e-01	8.8074e-01	1.2200e-01	1.0000e+00	0.0000e+00
9.8750e+00	1.2500e-01	8.6744e-01	1.1167e-01	1.0000e+00	0.0000e+00
1.0000e+01	1.2500e-01	8.6260e-01	8.1657e-02	0.0000e+00	0.0000e+00
1.0125e+01	1.2500e-01	8.6318e-01	7.6131e-02	0.0000e+00	0.0000e+00
1.0250e+01	1.2500e-01	8.4564e-01	7.7566e-02	1.0000e+00	0.0000e+00
1.0375e+01	1.2500e-01	8.5209e-01	6.1394e-02	0.0000e+00	0.0000e+00
1.0500e+01	1.2500e-01	8.3343e-01	5.3270e-02	0.0000e+00	0.0000e+00
1.0625e+01	1.2500e-01	8.4033e-01	4.8225e-02	0.0000e+00	0.0000e+00
1.0750e+01	1.2500e-01	8.1758e-01	2.7357e-02	1.0000e+00	0.0000e+00
1.0875e+01	1.2500e-01	8.3886e-01	1.2141e-02	0.0000e+00	0.0000e+00
1.1000e+01	1.2500e-01	8.0036e-01	-5.5875e-02	0.0000e+00	0.0000e+00
1.1125e+01	1.2500e-01	7.8904e-01	-3.6619e-02	0.0000e+00	0.0000e+00
1.1250e+01	1.2500e-01	7.8860e-01	-2.0077e-02	0.0000e+00	0.0000e+00
1.1375e+01	1.2500e-01	7.7962e-01	-3.2353e-02	1.0000e+00	0.0000e+00
1.1500e+01	1.2500e-01	7.9719e-01	-4.4616e-02	0.0000e+00	0.0000e+00
1.1625e+01	1.2500e-01	8.1995e-01	-7.2028e-02	0.0000e+00	0.0000e+00
1.1750e+01	1.2500e-01	7.9216e-01	-4.5103e-02	0.0000e+00	0.0000e+00
1.1875e+01	1.2500e-01	7.7388e-01	-7.1143e-02	0.0000e+00	0.0000e+00
1.2000e+01	1.2500e-01	7.7564e-01	-7.4799e-02	1.0000e+00	0.0000e+00
1.2125e+01	1.2500e-01	7.8139e-01	-8.6815e-02	1.0000e+00	0.0000e+00
1.2250e+01	1.2500e-01	7.9203e-01	-9.2752e-02	1.0000e+00	0.0000e+00
1.2375e+01	1.2500e-01	8.2391e-01	-1.1917e-01	0.0000e+00	0.0000e+00
1.2500e+01	1.2500e-01	8.3891e-01	-9.2468e-02	0.0000e+00	0.0000e+00
1.2625e+01	1.2500e-01	8.0949e-01	-8.2585e-02	0.0000e+00	0.0000e+00
1.2750e+01	1.2500e-01	8.1118e-01	-9.9013e-02	1.0000e+00	0.0000e+00
1.2875e+01	1.2500e-01	8.1276e-01	-9.6325e-02	1.0000e+00	0.0000e+00
1.3000e+01	1.2500e-01	8.1627e-01	-8.3650e-02	0.0000e+00	0.0000e+00
1.3125e+01	1.2500e-01	8.3364e-01	-5.8110e-02	0.0000e+00	0.0000e+00
1.3250e+01	1.2500e-01	8.5253e-01	-5.1706e-02	0.0000e+00	0.0000e+00
1.3375e+01	1.2500e-01	8.6098e-01	-3.3567e-02	0.0000e+00	0.0000e+00
1.3500e+01	1.2500e-01	8.6015e-01	-1.1290e-02	0.0000e+00	0.0000e+00
1.3625e+01	1.2500e-01	9.0424e-01	-6.8806e-03	0.0000e+00	0.0000e+00
1.3750e+01	1.2500e-01	8.9873e-01	-1.7138e-02	0.0000e+00	0.0000e+00
1.3875e+01	1.2500e-01	8.9043e-01	-1.3678e-02	0.0000e+00	0.0000e+00
1.4000e+01	1.2500e-01	9.0079e-01	-1.3318e-03	0.0000e+00	0.0000e+00
1.4125e+01	1.2500e-01	9.2750e-01	1.9465e-02	0.0000e+00	0.0000e+00
1.4250e+01	1.2500e-01	9.0371e-01	2.4221e-02	0.0000e+00	0.0000e+00
1.4375e+01	1.2500e-01	9.1094e-01	2.5843e-02	0.0000e+00	0.0000e+00
1.4500e+01	1.2500e-01	9.3353e-01	4.0202e-02	0.0000e+00	0.0000e+00
1.4625e+01	1.2500e-01	9.4625e-01	5.9457e-02	0.0000e+00	0.0000e+00
1.4750e+01	1.2500e-01	9.4277e-01	1.0489e-01	0.0000e+00	0.0000e+00
1.4875e+01	1.2500e-01	9.0965e-01	6.5927e-02	0.0000e+00	0.0000e+00
1.5000e+01	1.2500e-01	8.9764e-01	6.9796e-02	1.0000e+00	0.0000e+00
1.5125e+01	1.2500e-01	8.8775e-01	5.2306e-02	0.0000e+00	0.0000e+00
1.5250e+01	1.2500e-01	8.7952e-01	6.0479e-02	0.0000e+00	0.0000e+00
1.5375e+01	1.2500e-01	8.8737e-01	6.8331e-02	1.0000e+00	0.0000e+00
1.5500e+01	1.2500e-01	9.2019e-01	7.7240e-02	0.0000e+00	0.0000e+00
1.5625e+01	1.2500e-01	8.9361e-01	6.5469e-02	1.0000e+00	0.0000e+00
1.5750e+01	1.2500e-01	8.9290e-01	6.1657e-02	1.0000e+00	0.0000e+00
1.5875e+01	1.2500e-01	9.0683e-01	1.1417e-02	0.0000e+00	0.0000e+00
1.6000e+01	1.2500e-01	8.9581e-01	3.9562e-02	0.0000e+00	0.0000e+00
1.6125e+01	1.2500e-01	8.8304e-01	3.6809e-02	0.0000e+00	0.0000e+00
1.6250e+01	1.2500e-01	8.9999e-01	3.9404e-02	0.0000e+00	0.0000e+00
1.6375e+01	1.2500e-01	8.8245e-01	3.1645e-02	1.0000e+00	0.0000e+00
1.6500e+01	1.2500e-01	8.8718e-01	2.8649e-02	0.0000e+00	0.0000e+00
1.6625e+01	1.2500e-01	8.8939e-01	2.3742e-02	0.0000e+00	0.0000e+00
1.6750e+01	1.2500e-01	8.8936e-01	1.3445e-02	0.0000e+00	0.0000e+00
1.6875e+01	1.2500e-01	8.8920e-01	4.6173e-03	0.0000e+00	0.0000e+00
1.7000e+01	1.2500e-01	8.7131e-01	4.2703e-03	0.0000e+00	0.0000e+00
1.7125e+01	1.2500e-01	8.7073e-01	6.8923e-03	1.0000e+00	0.0000e+00
1.7250e+01	1.2500e-01	8.7345e-01	5.7422e-03	1.0000e+00	0.0000e+00
1.7375e+01	1.2500e-01	8.9369e-01	2.9025e-02	0.0000e+00	0.0000e+00
1.7500e+01	1.2500e-01	9.1699e-01	2.2678e-02	0.0000e+00	0.0000e+00
1.7625e+01	1.2500e-01	8.5324e-01	3.2945e-03	0.0000e+00	0.0000e+00
1.7750e+01	1.2500e-01	8.6504e-01	-9.6617e-03	1.0000e+00	0.0000e+00
1.7875e+01	1.2500e-01	8.5623e-01	-1.2702e-02	1.0000e+00	0.0000e+00
1.8000e+01	1.2500e-01	8.5779e-01	-1.5377e-02	1.0000e+00	0.0000e+00
1.8125e+01	1.2500e-01	8.5475e-01	-1.5343e-02	1.0000e+00	0.0000e+00
1.8250e+01	1.2500e-01	8.7742e-01	-1.7618e-02	0.0000e+00	0.0000e+00
1.8375e+01	1.2500e-01	8.8087e-01	-1.5129e-02	0.0000e+00	0.0000e+00
